cover_strain,core_strain,N.A,steel_strain,Moment,Curvature,Force,Sh_displacement,Fl_displacement,Total_displacement,Shear_assessment,Shear_design
0,0,0,0,0,0,0,0,0,0,10687.72,7611.39
0.0001,0.0001,7761.59,0.00008,247.42,0.00001,20.62,0.00002,0.00062,0.00063,10687.72,7611.39
0.0002,0.0002,1804.79,-0.00001,2826.41,0.00011,235.53,0.00018,0.00532,0.0055,10687.72,7611.39
0.0003,0.00029,1326.69,-0.00014,4587.64,0.00023,382.3,0.0003,0.0109,0.01119,10687.72,7611.39
0.0004,0.00039,1120.51,-0.00029,6051.39,0.00036,504.28,0.00039,0.01728,0.01767,10687.72,7611.39
0.0005,0.00048,1003.7,-0.00046,7384.7,0.0005,615.39,0.00048,0.02423,0.0247,10687.72,7611.39
0.0006,0.00057,929.94,-0.00065,8656.6,0.00065,721.38,0.00056,0.03154,0.0321,10687.72,7611.39
0.0007,0.00067,881.24,-0.00083,9939.88,0.00079,828.32,0.00064,0.03904,0.03968,10687.72,7611.39
0.0008,0.00076,844.52,-0.00103,11147.81,0.00095,928.98,0.00072,0.04682,0.04754,10687.72,7611.39
0.0009,0.00086,819.53,-0.00122,12390.19,0.0011,1032.52,0.0008,0.05457,0.05537,10687.72,7611.39
0.001,0.00095,799.27,-0.00142,13588.98,0.00125,1132.42,0.00088,0.06251,0.06339,10687.72,7611.39
0.0011,0.00104,785.39,-0.0016,14823.09,0.0014,1235.26,0.00096,0.07035,0.0713,10687.72,7611.39
0.0012,0.00114,773.68,-0.00179,15990.37,0.00155,1332.53,0.00103,0.07832,0.07935,10687.72,7611.39
0.0013,0.00123,764.06,-0.00198,17157.9,0.0017,1429.82,0.00111,0.08637,0.08748,10687.72,7611.39
0.0014,0.00133,752.67,-0.00219,18126.09,0.00186,1510.51,0.00117,0.09264,0.09381,10687.72,7611.39
0.0015,0.00142,739.6,-0.00242,18882.5,0.00203,1573.54,0.00122,0.09777,0.09898,10687.72,7611.39
0.0016,0.00151,724.94,-0.00266,19431.69,0.00221,1619.31,0.00125,0.10228,0.10354,10687.72,7611.39
0.0018,0.0017,696.48,-0.00319,20385.02,0.00258,1698.75,0.00131,0.11106,0.11237,10687.72,7611.39
0.002,0.00188,672.49,-0.00374,21179.1,0.00297,1764.93,0.00137,0.11941,0.12078,10687.72,7611.39
0.0025,0.00234,621.52,-0.00527,22403.13,0.00402,1866.93,0.00144,0.13854,0.13998,10687.72,7611.39
0.003,0.0028,590.44,-0.00681,23143.57,0.00508,1928.63,0.00149,0.15603,0.15752,10687.72,7611.39
0.0035,0.00325,570.11,-0.00835,23640.85,0.00614,1970.07,0.00152,0.17262,0.17415,10687.72,7611.39
0.004,0.00371,553.24,-0.00996,24035.08,0.00723,2002.92,0.00155,0.18929,0.19084,10687.72,7611.39
0.0045,0.00417,542.27,-0.01152,24380.82,0.0083,2031.73,0.00168,0.20547,0.20715,10687.72,7611.39
0.005,0.00463,534.18,-0.01307,24696.5,0.00936,2058.04,0.00181,0.22144,0.22325,10687.72,7611.39
0.006,0.00554,522.29,-0.01618,25054.66,0.01149,2087.89,0.00207,0.25244,0.2545,10641.25,7577.34
0.007,0.00646,520.98,-0.01894,25238.93,0.01344,2103.24,0.00229,0.28029,0.28259,10531,7496.57
0.008,0.00738,518.38,-0.02179,25497.66,0.01543,2124.81,0.00253,0.30909,0.31162,10417.01,7413.04
0.009,0.0083,514.5,-0.02477,25755.52,0.01749,2146.29,0.00277,0.33878,0.34155,10299.52,7326.96
0.01,0.00922,510.65,-0.0278,25973.47,0.01958,2164.46,0.00302,0.36874,0.37176,10180.95,7240.08
0.012,0.01105,505.56,-0.03382,26407.49,0.02374,2200.62,0.00351,0.42827,0.43177,9945.34,7067.45
0.014,0.01289,503.04,-0.03973,26777.48,0.02783,2231.46,0.00398,0.48675,0.49074,9713.87,6897.85
0.016,0.01472,501.78,-0.04556,27096.76,0.03189,2258.06,0.00446,0.5445,0.54896,9485.31,6730.39
0.018,0.01657,501.78,-0.05125,27242.09,0.03587,2270.17,0.00492,0.60063,0.60555,9263.14,6567.6
0.02,0.01841,501.78,-0.05695,27430.63,0.03986,2285.89,0.00538,0.65693,0.6623,9040.34,6404.35
0.022,0.02026,504.92,-0.06211,27860,0.04357,2321.67,0.00581,0.7103,0.71612,8829.08,6249.56
0.024,0.0221,504.92,-0.06776,27817.16,0.04753,2318.1,0.00627,0.7654,0.77167,8611.01,6089.79
0.026,0.02395,508.08,-0.07279,28131.05,0.05117,2344.25,0.00669,0.81734,0.82403,8405.43,5939.16
0.028,0.0258,508.08,-0.07839,28120.6,0.05511,2343.38,0.00714,0.87222,0.87936,8188.25,5780.03
0.03,0.02764,508.08,-0.08399,28085.14,0.05905,2340.43,0.00759,0.927,0.93459,7971.44,5621.17
